result,paper,experiment,good,anchor,elicitation,incentives,n_total,n_low,mean_low,n_high,mean_high,sd_pooled,ratio,r_effect,z_effect,z_se,z_weight,g_effect,g_se,g_weights
1,Ariely et al (2003),1,familiar,questionable,WTP,yes,55,27.5,14.71,27.5,25.13,12.39468685,1.708361659,0.3875,0.408854952,0.138675049,52,0.840682796,0.281340098,12.63387955
2,Ariely et al (2003),2,unfamiliar,informative,WTA,yes,88,44,0.4,44,0.6,0.211365382,1.5,0.427665596,0.457036248,0.108465229,85,0.946228745,0.224814934,19.78562092
3,Ariely et al (2003),3,unfamiliar,questionable,WTA,yes,90,45,3.55,45,5.76,1.943401254,1.622535211,0.494278123,0.54170582,0.107211253,87,1.137181524,0.227219691,19.36903888
4,Ariely et al (2003),4,unfamiliar,informative,WTA,yes,53,26.5,0.43,26.5,1.3,0.688132794,3.023255814,0.534335241,0.596193262,0.141421356,50,1.264290858,0.30091733,11.04347116
5,Ariely et al (2003),5,unfamiliar,informative,WTA,yes,44,22,0.34,22,0.73,0.227121779,2.147058824,0.651415463,0.77775364,0.156173762,41,1.71714048,0.352725934,8.037578288
6,Ariely et al (2003),6,unfamiliar,informative,WTA,yes,59,29.5,82,29.5,162,60.76436203,1.975609756,0.549841415,0.61815398,0.133630621,56,1.316561177,0.287203544,12.12328767
7,Simonson & Drolet (2004),1a,familiar,questionable,WTP,no,58,29,25,29,38,9.321451612,1.52,0.571983991,0.650466594,0.134839972,55,1.394632568,0.292801569,11.66415284
8,Simonson & Drolet (2004),1b,familiar,questionable,WTA,no,58,29,35,29,32.5,14.43375673,0.928571429,-0.086279596,-0.086494651,0.134839972,55,-0.173205081,0.263104804,14.44582814
9,Simonson & Drolet (2004),1c,familiar,questionable,WTP,no,58,29,32.5,29,35,9.321451612,1.076923077,0.132909579,0.133700594,0.134839972,55,0.268198571,0.26379084,14.3707878
10,Simonson & Drolet (2004),1d,familiar,questionable,WTA,no,58,29,25,29,28.8,14.43375673,1.152,0.130509979,0.131258631,0.134839972,55,0.263271723,0.263748051,14.37545109
11,Simonson & Drolet (2004),1e,familiar,questionable,WTP,no,58,29,32.5,29,36.9,9.321451612,1.135384615,0.229703843,0.233876791,0.134839972,55,0.472029485,0.266244829,14.10709649
12,Simonson & Drolet (2004),1f,familiar,questionable,WTA,no,58,29,25,29,27.5,14.43375673,1.1,0.086279596,0.086494651,0.134839972,55,0.173205081,0.263104804,14.44582814
13,Simonson & Drolet (2004),2a,familiar,questionable,WTP,no,64,32,28.8,32,43.8,8.447565523,1.520833333,0.663921281,0.799793448,0.12803688,61,1.775659503,0.295182235,11.47676701
14,Simonson & Drolet (2004),2b,familiar,questionable,WTP,no,64,32,27.6,32,32.5,13.08059204,1.177536232,0.184098997,0.186222199,0.12803688,61,0.374600782,0.252183058,15.72418648
15,Simonson & Drolet (2004),2c,familiar,questionable,WTA,no,64,32,28,32,27.5,8.447565523,0.982142857,-0.029581374,-0.029590007,0.12803688,61,-0.05918865,0.250054733,15.99299647
16,Simonson & Drolet (2004),2d,familiar,questionable,WTA,no,64,32,23.8,32,32.5,13.08059204,1.365546218,0.315561917,0.326710491,0.12803688,61,0.66510751,0.256819002,15.1616229
